$Ateles	x10	x22	x36	x42	x43	x44	x54	x57
Spondias.radlkoferi	0	0	1	0	0	0	0	0
Stenostomum.turrialbanum	0	0	0	0	0	0	0	1
Sterculia.apetala	0	0	1	0	0	0	0	0
Sterculia.appendiculata	0	0	0	0	1	0	0	0
Styrax.argenteus	0	0	1	0	0	0	0	0
Swartzia.cubensis	0	0	1	0	0	0	0	0
Symphonia.globulifera	0	0	0	1	0	0	1	1
Syngonium.angustatum	0	0	1	0	0	0	0	0
Tabebuia.ochracea	1	0	0	0	0	0	0	0
Tabernaemontana.glabra	0	1	1	0	0	0	0	0
Tapirira.guianensis	0	0	0	0	0	0	0	1
Terminalia.costaricensis	0	0	0	1	0	0	0	0
Tetrathylacium.macrophyllum	0	0	0	1	0	0	1	0
Theobroma.angustifolium	0	0	0	0	0	0	1	1
Theobroma.sp1	0	0	0	0	0	0	0	1
Topobea.maurofernandeziana	0	0	0	0	0	0	1	0
Trattinnickia.aspera	0	0	0	1	0	0	0	0
Trichilia.americana	0	0	1	0	0	0	0	0
Trichilia.martiana	0	0	1	0	0	0	0	0
Trichilia.septentrionalis	0	0	0	1	0	0	1	1
Trichilia.tuberculata	0	0	0	0	0	0	1	0
Trophis.racemosa	0	0	0	0	0	0	1	0
Unonopsis.pittieri	0	0	0	0	0	0	1	0
Vachellia.collinsii	0	0	1	0	0	0	0	0
Vantanea.barbourii	0	0	0	1	0	0	0	1
vine.Bigno1	0	0	0	0	1	0	0	0
vine.Fabaceae	0	0	0	1	0	0	0	0
vine.Msp.des	0	0	0	1	0	0	0	0
vine.Msp.G	0	0	0	0	0	1	0	0
vine.Msp.J	0	0	0	0	0	1	0	0
vine.Msp.sm	0	0	0	1	0	0	0	0
vine.Msp31	0	0	0	1	0	0	0	0
vine.sp1	0	0	0	1	0	0	0	0
vine.sp16	0	0	0	1	0	0	0	0
vine.sp2	0	0	0	1	0	0	0	0
vine.sp3	0	0	0	1	0	0	0	0
vine.sp32	0	0	0	1	0	0	0	0
vine.sp4	0	0	0	1	0	0	0	0
Virola.cy.	0	0	0	1	0	0	0	0
Virola.guatemalensis	0	0	0	0	0	0	1	0
Virola.koschnyi	0	0	0	0	0	0	1	1
Virola.macrocarpa	0	0	0	0	0	0	0	1
Virola.sebifera	0	0	0	1	0	1	0	1
Virola.sp1	0	0	0	0	0	0	0	1
Virola.surinamensis	0	0	0	1	0	0	1	1
Xylopia.macrantha	0	0	0	0	0	0	0	1
Xylosma.intermedia	0	0	0	0	0	0	1	0
Zanthoxylum.panamense	0	0	0	0	0	0	1	0
